source_id,sentence,label,label_for_kaggle
10011COS_71,瞬間填補紋路，具有修補肌膚紋路功能的Age Down polymer成分，只要用指腹輕輕拍點在表情紋，即可瞬間填補明顯紋路。由裡而外的完美呵護，增強肌膚彈性的縮氨酸複合體有效滲透肌膚底層，從肌膚深層改善細紋，預防老化...,第24條第2項,1
9903COS_54,獨創『舒敏活妍雙效因子』，有效改善敏感，同時預防老化，制伏愛作怪敏感肌...能抑制肌膚釋出組織胺，改善微血管擴張，防止紅腫、發炎、發癢，修護肌膚，重啟美肌抵禦力...,第24條第2項,1
9906COS_44,能重整角質表層的細胞間脂質，改善膚色黯沉問題...從深層有效抑制黑色素形成，阻斷黑色素形成的通道，進而淡化斑點...從外側與內側雙管齊下對抗黑色素形成，讓肌膚從內而外透白起來...,第24條第2項,1
9903COS_19,迪奧第一款夜間美白精華能在肌膚內部逆轉黑色素生成...歷經10年針對DNA修護研究的成果，結合迪奧最有效美白科技...阻斷 正成形的斑點，並預防未來斑點形成...迪奧與法國原子能委員會的DNA實驗室合作，找出並監控進行DNA夜間修復的酵素...能刺激DNA修復酵素的活性，從麥拉寧黑色素生成過程的源頭扭轉連鎖反應。...迪奧與法國原子能委員會合作，推出迪奧雪晶靈DNA黑鑽夜間修護精華，以專利的DNA晶鑽淨黑系統活化DNA修復酵素，在夜間鎖定受損DNA進行修復...,第24條第2項,1
9903COS_33,5大積極作用力...凍結膚齡 掌握抗老控制權...前進細胞源頭阻擋老化現象產生...創造光潤彈力美肌...運用5大積極作用力，提供全方位的抗老之道：1.強化表皮細胞新生...2.前進纖維母細胞源頭修護DNA：加入FGF纖維母細胞生長因子，刺激膠原蛋白產量...加上咖啡因促進代謝，消除浮腫...,第24條第2項,1
10404COS_3,吸油力比一般粉體高達3000倍的『智能控油粉末』，能聰明吸附多餘油脂...添加保濕成分幫助肌膚油水平衡...美白保濕雙管齊下，讓換季美白事半功倍，一招改變黯沉無光肌，喚回水亮無瑕的白皙美肌！...就是要提升角質含水量至黃金比例20~35%...、...7天有感抗皺瞬白...只需7天就能搶在肌齡拉警報前，為肌齡設下零賠本的完美停損點...甚至尋求醫美，不是過於昂貴就是毫無效果...搭配杏仁萃取讓膠原蛋白生成...只要充分按摩30秒，微粒特殊的構造就能讓美白成分迅速滲透到肌膚底層，持續使用7天...預防黑色素活性化...IPSA研究發現，細胞分裂是肌膚維持青春的關鍵...蘊含『肌活能量因子』以沙漠柵藻激發細胞活化啟動...幫助細胞啟動、修護，從根本解決假性老化...具有活化、修護細胞之強大作用力...結合抗氧化『牛磺酸』促進肌膚細胞活性與修復力，就像『擦』的保健品般...最強減齡妝...單擦CC霜卻又覺得遮瑕不夠力...蠟黃膚質...70%女性對於Q彈緊實超有感...95%女性使用後水潤感大幅提升...『三重胺基酸』促進膠原蛋白產生...發揮抗老保養的最佳功效...、...清透好吸收，不易長肉芽...,第24條第1項,0
9901COS_12,藥妝最強美白聖品、白天全臉密集抗氧亮白...有效預防抬頭紋、皺眉紋、魚尾紋...重建肌膚支撐彈力...脫屑...發癢、紅斑、緊繃...立即抑制發炎，舒緩紅腫不適，含有高濃度維他命B3及傳明酸，溫和抑菌配方能夠迅速立即有效抑制肌膚已產生的發炎的痘痘...減少因粉刺、痘痘形成的疤痕...吳英俊教授...創造了皮膚醫學結合美容生技，成為業界先驅...被尊稱為-醫學美容之父...2003年推出第二代高效嫩白精華液-以高濃度熊果素為主要成分...吳教授期望透過醫學、美容及科技的結合帶給您全方位的肌膚保養概念...由內而外展現動人的神采...,第24條第2項,1
9912COS_50,減少因肌肉牽動所造成之表情動態紋...台灣銷量冠軍！模擬dr.在診所進行的肉毒桿菌素注射療程...幫助鎮定...電波拉皮小臉術！...美國”W”雜誌報導BradPitt愛用...甜豌豆微蛋白形塑緊膚薄膜瞬間緊實拉提肌膚...經典商品雷射緊提效素配方再升級...多種高抗氧成分抵禦紫外線與自由基傷害...在皮膚上形成隱形的拉提定位膜...,第24條第2項,1
10404COS_10,如果你是這種嚴重斑點的，頸紋的，你的斑點你的黑眼圈，兩年之後，你會發現越來越年輕，完全沒有任何斑點，沒有任何紋路...法令紋消失...頸紋消失...,第24條第1項,0
10412COS_40,高效抗氧化成分能淡化黑斑、改善黯沉、膚色不均，並阻截黑色素沉澱，肌膚更顯純淨白皙。細紋與皺紋更撫平，令肌膚隱匿歲月痕跡，年輕透亮，煥發光彩...質感豐潤、如絲般柔滑的保濕液猶如肌膚的能量水......帶給肌膚絕佳的遮瑕、緊緻與光澤感。長達12小時保濕效果...這款隔離霜可有效抵禦有害的UVA和UVB紫外線侵害，同時令膚色自然均勻，造就完美妝感。其能膠狀的清新質地可立即被肌膚吸收，妝效持久長達8小時...,第24條第2項,1
9810COS_5,增加保濕度、增加代謝功能，幫助修復肌膚...提升膚質，延緩老化...許瑋甯水噹噹全靠水美媒...肌膚經過白天艷陽炙烤後，可以用水美媒Day Spa來修護及增加肌膚防護力...調節肌膚角質代謝功能...為什麼【水美媒】可以那麼快速的讓過敏現象恢復正常？...大量使用『水美媒』，水份進入細胞內會產生立即冷卻的效果，而氧氣也有鎮靜的功能，讓發炎現象快速的消失，不需吃藥打針就能恢復正常...,第24條第2項,1
10002COS_11,幫助活化底層肌膚的極致平衡...改善肌膚老化現象，解決肌膚多重問題...尚有3.6倍肉眼未察覺的隱藏斑點藏匿於肌底層...蘊含維生素c醣苷...掌葉樹精萃...,第24條第2項,1
9811COS_34,紋路減輕 保濕提升...秋季保濕不讓細紋悄悄出現...保濕測試35.7%（使用前）82%（使用後）...斑點、黑眼圈（使用前、後）...乾燥、脫皮（使用前、後）...泛油、暗沉（使用前、後）...痘疤（使用前、後）...膚色不均、毛孔粗大（使用前、後）...油膩測試...一般精華液...油阻塞難吸收...Taiwan Yes...清爽好吸收...,第24條第2項,1
10012COS_47,最受好評的醫美品牌...未使用vs.有使用 好清透未使用vs.有使用 好服貼...它牌vs.STEMCIN防水、不脫妝服貼、好上妝...15分鐘過後...它牌 受潮 粉體結塊vs.STEMCIN保鮮隨轉即用...,第24條第1項,0
10410COS_87,炎熱的夏天，讓肌膚失去光采，怕肌膚缺水出遊、冒痘，更怕紫外線對肌膚造成的傷害！想成為肌膚白皙水嫩又透亮的夏日甜心，選對保養品非常重要...一瓶實現防曬、美白、保濕的SOFINA jenne透美顏美白日間保濕防護乳，給你看得見的美白摸不到的防曬...,第24條第2項,1
10412COS_43,封面人物...公開皮膚Q彈3秘技...她代言的Biore洗面乳...陳意涵/清潔/防曬/保濕...今年32歲的她，臉蛋還能如此水嫩Q彈宛如少女，全都是『清潔』、『防曬』、『保濕』做得好...Biore清透極淨洗面乳100g/110元...難道夏天就得遮遮掩掩，只怕見光死？她的做法是選擇清爽不黏膩的防曬產品，來避免全身肌膚曬黑、曬老，最好是質地像水一般，擦起來舒服零負擔，不只保濕，補擦也不會產生抗拒心理，或是乾脆用噴霧型的防曬品...Biore玩美清透防曬噴霧，SPF50+，PA++++，50g/280元...,第24條第1項,0
10212COS_8,專業美體保養第一彈...彷彿穿上隱形翹臀小熱褲只要10天! 重新雕塑美臀弧線，挑戰性感極限!小熱褲翹臀霜任妳拿翹...高效緊緻聚合物針對鬆弛臀部，直達真皮層恢復肌膚彈力，達到立即緊緻...保濕力深入肌底五層肌底儲水X肌層補水X肌表鎖水48小時源源不絕密集保濕...富含35種重要的微量元素，可媲美肌膚天然保濕因子的鎖水效果，同時修護肌膚因乾燥所感到不適現象，達到舒緩、鎮定、幫助細胞再生及增加肌膚防禦力等功能，並使膚感呈現細緻柔嫩...針對雕塑鬆弛臀部設計。獨家萃取大西洋『拉魯克巨藻』特殊彈力酵素因子與獨家高效緊緻聚合物，能直達肌膚真皮層刺激膠原蛋白增生，重建肌膚細胞架構，恢復健康彈力，達到立體緊緻效果。結合珍珠母貝、PTP礦泉活膚因子，使臀部肌膚柔嫩光滑。光塑身、減重、瘦腰還不夠 妳需要緊緻挺俏的迷人『蜜桃臀』 2012 BIOTHERM碧兒泉 專業美體保養第一彈彷彿穿上隱形翹臀小熱褲只要10天! 重新雕塑美臀弧線，挑戰性感極限!...研究證實，肌膚老化只有20%的來自不可避免的歲月痕跡，竟有高達80%則是來自外在的傷害，其中3大催老因子--紫外線、汙染和壓力等負面因素，還會不斷的層層交疊，加劇老化現象...,第24條第1項,0
9904COS_24,"強力抗皺美容成分...避免深紋形成...只要一瞬間 青春就能回到妳的臉龐!!...即時幫你解決這些問題...蘊含豐富玻尿酸複合因子，只要短時間就能緊緻皮膚、減淡皺紋和表情紋...專屬追求 無敵緊緻 的您...蘊含專利配方成份10% ...56天，你的眼睛也能放電...MATIS白皙晶萃系列...""是什麼簡單方法可以輕易展現白皙透亮美肌？MATIS打造您專屬的白皙美麗""...更淨白．更無瑕．更透亮亮出白皙美肌...",第24條第2項,1
9912COS_15,力抗汙塵環境...活氧護肌...曝露在高指數紫外線、煙塵汙染環境中...重度缺水及缺氧狀態...專利3D智慧活氧載體...捕捉氧氣因子...形成保水屏障...預防、淨化、舒緩...讓晦暗的雙眸眼周重現曙光般的明亮健康。試用者異口同聲表示...暗沉改善了！...熊貓眼拜拜...最初計劃以妊娠霜上市...意外發現這瓶乳霜竟讓多位誤用於臉部的消費者肌膚變的緊實...、...有效減少睫毛脫落...實驗證明，連續使用約一個月之後，就能讓睫毛平均增長2.5毫米...加速睫毛生長...加速痘痘生長期 降低紅腫現象...超強的抗菌效果...痘痘明顯減少：85％...降低紅腫情況：90％...增加肌膚抗氧化功能...高效鎮定肌膚...有效刺激肌膚微循環...增加肌膚自我防禦機制...,第24條第1項,0
9901COS_25,只要30秒就有按摩的效果...碳酸泉有促進血液循環及代謝功能的作用...碳酸分子微小，連皮膚的防禦也能輕鬆通過...青春美膚露（保濕）//內含月見草油可收斂、消炎...青春美膚露（清爽）//內含月見草油可收斂、消炎、抗酸化...青春精華液//內含月見草油可收斂、消炎、抗酸化...碳酸亮顏泡泡面膜//...中和皮膚表面的酸性物質，促進皮膚血液循環，加速細胞新陳代謝...,第24條第2項,1
10212COS_21,百年成一樹的龍血樹，具有強大的自我修護功能，能促進膠原生成，使肌膚保持年輕彈性，而生長在零下40度的積雪草，同樣具有強大修護力，能防止老化並緊緻肌膚，瑞士Condier肌活抗老回春植萃霜，雙倍激活細胞自癒能力，讓基因停止衰老修護再生...解決皮膚七大問題...斑點、敏感、角質異常...當地人數千年前用於治療傷口、凝血...活化肌膚強化吸收、抗敏...,第24條第1項,0
10306COS_10,滋養、保護、鎮靜、重新修護受損傷的手部肌膚長時間耐水性，保護肌膚質地清爽迅速吸收，不油膩高耐受性...（雅漾抗痘保濕乳）調節油質分泌、舒緩發炎現象、適度提供保濕作用...（雅漾術後保濕霜）脆弱受損肌膚及極度缺水乾燥肌適用...給予脆弱敏感肌全面呵護.......防止日曬後肌膚刺激及老化....抗刺激、抗發炎效果...有防曬劑保護下能隔離UVA，UVB...最佳的化粧品品質 質地清爽滿意度達92%，容易塗抹滿意度達96%...全新清透防水質地...（孕婦除紋霜）安心防護...設計，有效防護及調理已生成之細紋...降低肌膚細紋出現...（嫩白美體除紋精華）高效修護 細紋不再...深層改善撫平細紋...表層光滑遮瑕效果...協同膠原蛋白作用...幫助淡化修飾、嫩白美化肌膚...有效修護肌膚，提升彈性...嫩白美化肌膚...具去角質功能，使皮膚柔軟光滑...（超彈美胸精華）...呵護美胸...喚膚緊實因子...能延緩肌膚老化，避免鬆弛現象產生...具滋潤保濕效果...,第24條第1項,0
9807COS_34,含高穩定維生素C(AA2G)與維生素B3，能有效滲透至肌膚底層，避免酪胺酸酶作用形成黑色素；無油配方與天然保濕因子，使用後肌膚不僅柔嫩，更可散發清透的白皙光感...Helioplex化身陽光絕緣體 皮膚醫學國際首席權威-寇蒂斯.柯爾博士取得專利的『Helioplex高效隔光科技』，運用兩種美國FDA核可的防曬成分，可有效隔絕紫外線UVA/UVB，並透過特殊的穩定遮光劑技術，在強烈陽光下防曬力也不會瓦解，提供全方位抗紫外線防護。百位皮膚科醫師超強推薦...經國內122位皮膚科醫師試用後，好評如潮 98%願意持續使用露得清『細白隔離乳液』。98%會推薦有使用需求的病人使用露得清『細白隔離乳液』...從底層亮出深度白...超效3次方美白1.先『舒緩』馬齒莧能立即舒緩受到紫外線刺激的黑色素母細胞，從根本抑制黑色素生成。2.後『阻斷』直接抑制黑色素向表面延伸，有效預防斑點生成與膚色不均問題。3.再『修護』維生素B3可促進細胞再生與血液循環...『細白隔離乳液』專利Heloplex高效隔光科技 能全方位長效隔離UVA/UVB 抑制黑色素，預防曬黑及斑點出現保持均勻白皙膚色...,第24條第2項,1
10107COS_27,...永信生醫集團...3D瓷晶元瞬效配方...Vitasouce基因再生因子成分，結合T-43基因修護因子...瞬效抗皺胜肽...讓肌膚可以自然再造...細胞不斷活化再生...效果實在太驚人了...可以直接修復細胞內染色體老化的端粒...,第24條第1項,0
9903COS_36,幹細胞是肌膚、肌肉、骨骼、內臟等等身體組織形成的根源，又是可以稱作生命起緣的細胞...一旦幹細胞減少，新的肌膚細胞就無法生成，最後導致肌膚滋潤與彈性生成能力的衰退，並加速肌膚的老化。所以，維持幹細胞的再生與活躍，就是倒轉肌齡的美麗秘訣...1瓶即產生抗老複合作用的神奇乳霜...,第24條第2項,1
9908COS_46,隨身帶著她，簡單輕鬆提升健康防護力...瞬間潔淨100％...分泌物bye bye...瞬間達到淨味、潔淨、調節pH值的三重防護功效，同時快速的在私密肌膚形成弱酸防護膜，隔離分泌物、異味...整天都健康清爽...分泌物多、感染期、生理期也能迅速潔淨、改善氣味提升防護...,第24條第2項,1
9901COS_24,告別走樣身材...加速分解、緊緻拉提...讓討人厭的臃腫體態...無所遁形...加速脂肪分解...腿看起來也變細了...RETINOL維他命A專家獨特深入細胞核心的力量最卓越的維他命A載體...透過『智慧離子導航載體』深入真皮層，猶如『GPS導航技術』抵達纖維母細胞...維他命A深入真皮層...分子為一般之1/100...活化效果為一般之6倍...,第24條第2項,1
10105COS_83,醫學界陸續發現Q10對於抗氧化以及抗自由基有卓越的效果，其抗氧化的效果是維他命E的40倍。...由於Q10是細胞能量的重要來源，可抗氧化、消滅自由基，所以對減緩細胞老化、修復受損的膠原纖維有一定效果...供給細胞再生活化的能力，也是高活性的抗氧化劑﹔可抑制彈力蛋白酶，幫助肌膚的活化...延緩老化...增加皮膚細胞抗氧化能力...提高肌膚含水量，增加彈力纖維活性...抑制磷酸酪氨酸脢活性，使黑色素合成受阻，美白肌膚...,第24條第1項,0
10101COS_28,第1大頂級...擁有強大的耐寒冷、抗壓力特性，展現強效的抗老能量與內在防禦力...第2大頂級 醫美級抗老能量...Phytoferulin®結合10種經法國ECOCERT有機認證的濃縮植萃，賦予肌膚抗老與修護力...針對各部位皺紋精準作用，維持肌膚緊緻彈性延緩肌齡增長...在肌膚表面形成儲水膜，持續補足修護乾渴肌膚所需要的保濕能量...早期歐洲使用於癒合和修護等治療功效...專為初期老化與熟齡肌所設計。針對紫外線造成複雜的肌膚問題，以其萃取的白羽扇豆蛋白，為肌膚抵禦各種老化現象...幫助老化肌膚度過嚴冬、找回春天...成分與濃度大幅超越專櫃頂級配方，高CP值更凌駕市面上眾多抗老保養商品...,第24條第1項,0
10105COS_92,可以改善、預防頭皮屑問題，同時可以修護頭皮、滋養髮根、修護分岔的秀髮...揮別頭皮搔癢、刺痛的困擾...長期使用可緩和掉髮及頭皮屑等現象...,第24條第1項,0
9906COS_55,更帶走『黑』...10萬網友好評 睡覺就能白...壓力是導致麥拉寧黑色素生成的原因之一...每次呼吸都能有效抑制黑色素生成，不只是淨白，還是一種享受...,第24條第2項,1
10504COS-half_30,99%對產品吸收力表示滿意 96%對產品滲透力表示滿意 97%對改善肌膚明亮度表示滿意 97%對改善肌膚乾燥表示滿意...,第24條第1項,0
10404COS_11,(見證藝人伊能靜)...白天能夠修護受損細胞...夜晚修護我們的染色體...修復我們的彈性...很少能達到我們的DNA也就是我們的染色體...14天擁有令人羨慕的娃娃臉...讓DNA變得健康...,第24條第1項,0
10011COS_83,毛生促進、發毛促進、育毛、養毛...脫毛の予防...發毛促進因子...血行促進...,第24條第1項,0
10101COS_15,專消肥腰厚肉...有效阻止脂肪堆積效應 微晶導入撫平NG肉...2倍茶花瘦力加倍 徹底瓦解不卡油...針對腰腹脂肪，促進循環代謝，並改善久坐所累積的累贅線條，打造性感水蛇腰...秒秒燃燒x凸肚解消...每天10分鐘‧褲子又變鬆!按摩可促進腸胃蠕動‧加速順暢...熱力逼油 直攻胖穴...2週間-6~8...收線條100%->逼囤積200%->成功減吋300%...,第24條第1項,0
10012COS_75,杏仁酸透白晚安凍膜睡眠淨白夜間集中修護...櫻花美姬晚安凍膜嬌嫩肌、曬後肌專屬新對策...玻尿酸膠原雙分子水凝膜 保濕 儲水鎖水一次到位 保濕抗老...《玻尿酸》...所指滑滑洗不掉，可防止臉上水分的蒸發...核准字號：北市衛妝廣字第99100078號...,第24條第1項,0
10008COS_58,反覆出現痘痘的肌膚，特別脆弱並容易產生斑點...預防痘痘、預防斑點...2種漢方植物精華，苦蔘精華：維持肌膚清潔具有抗菌效果...靈芝精華：維持肌膚狀態穩定並有抗發炎效果...,第24條第2項,1
10410COS_72,超水潤！...韓系開架CC霜首選...免化學性防曬30分鐘曬前等待...三段式膠囊微粒智慧調色...,第24條第1項,0
9909COS_6,促進膠原蛋白生成，減少脫落斷裂、更能修護及強化睫毛的強韌度...實驗測試結果，短短4週，睫毛更濃密強韌...81%睫毛更濃密、94%睫毛更強韌、97%睫毛不易掉落...1滴 有50倍淨白能量 讓肌膚零斑點...經實驗證明能層層祛除黑斑及-82%底層黑色素、1祛斑+煥白2透亮+47%白皙透亮...紅管添加2倍彈力緊膚素與專櫃級成份腺甘酸，能向上拉提眼尾肌膚，對抗上眼皮鬆弛。白管添加維他命原A與咖啡因成分，能有效消除眼下細紋，並淡化眼周暗沉...90%試用者證實使用後 膚色立即更白皙、85%試用者證實使用後 斑點立即明顯變淡...『只要1滴就能發揮高達50倍的淨白力量』...『短短6天內，就能去除肌膚82%的黑色素』...紅管則針對容易鬆弛的上眼皮與眼尾加強配方，特別添加2倍的彈力緊膚素與專櫃級成份腺甘酸，能立即向上提拉眼尾、淡化魚尾紋，讓上眼皮更緊緻...96%使用四週後，眼周更平滑，眼尾下垂顯著改善。台灣女性親眼見證 使用前眼周細紋明顯、眼尾下垂。使用後 眼周細紋淡化、眼尾緊提（前後比較圖）...,第24條第2項,1
9807COS_9,舒緩肌膚紅腫、乾燥...抗氧化、隔離肌膚...預防皮膚老化、除皺、更加光滑...金-呼吸系統/...適用於鼻竇炎、氣喘、鼻炎、喉痛、支氣管炎...膽經複方純精油/...適用於偏頭痛...水-生殖系統/...適用於不孕...陰道搔癢、陽萎、月經量太少...火-循環系統/...適用於手腳冰冷及高血壓、低血壓、貧血...土-消化系統/...適用於對消化不良、脹氣、胃痛、胃潰瘍、便秘、口臭...,第24條第2項,1
10411COS_44,（杏仁酸清爽毛孔細緻洗面乳）能改善毛孔粗大問題，減少粉刺的增生，為泛黃肌膚恢復亮白與細緻，泡泡比一般市面洗面乳細緻...（北之薏仁活潤透白精華液）減少黑色素聚集問題，加強淡化斑點瑕疵，富含維生素群與薏仁萃取精華，避免陽光造成的傷害...（ 北之薏仁活潤透白精華乳）達到減緩老化徵兆，且促進肌膚的新陳代謝、淡化斑點與亮膚效果，滋潤不出油，低過敏、無油膩、黏膩感受...（玻尿酸超涵水全效肌底精華）對任何年齡層及一般肌膚皆適合使用...（玻尿酸超涵水凝霜）可幫助肌膚鎖住水分...清爽不黏膩，讓肌膚吸收無負擔，是四季皆宜的全效保濕霜...或敏感肌都適合...（3D BB亮采無暇粉凝霜）兼具亮白及保濕功能...打造立體妝容...夏日美肌大作戰 一次搞定...每到夏季，最惱人的不外乎是滿臉油光，還有冒不停的粉刺跟痘痘了！到底該怎麼清潔保養才對呢？...如果不好好將肌膚調理到油水平衡...輕鬆幫您跟油光、毛孔粗大的肌膚問題說byebye~...打擊毛孔零油光！！...（杏仁酸清爽毛孔細緻洗面乳）...的特性...能溫和吸附毛孔及角質層上的髒汙...（杏仁酸煥膚彈力精華液）能快速深入毛孔清除...達到緊緻毛孔...兼具雙重煥膚...（杏仁酸清爽油切調理乳）關鍵保養！輕果酸...讓角質完美更新，同時具備良好的親膚性質...,第24條第1項,0
